"","V1","V2"
"1095","she and her","husband"
"1096","a cup of","coffee"
"1097","i thought he","was"
"1098","will let you","know"
"1099","in the long","run"
"1100","are one of","the"
"1101","from the university","of"
"1102","had the chance","to"
"1103","a way to","get"
"1104","in the real","world"
"1105","feel the need","to"
"1106","i like to","think"
"1107","leading up to","the"
"1108","months of the","year"
"1109","i didnt even","know"
"1110","had no idea","what"
"1111","finished a mi","run"
"1112","not to mention","the"
"1113","it took me","a"
"1114","health and human","services"
"1115","it out of","the"
"1116","for the kind","words"
"1117","to make a","difference"
"1118","first time in","a"
"1119","when it came","to"
"1120","that i dont","have"
"1121","in a variety","of"
"1122","the university of","chicago"
"1123","if i wanted","to"
"1124","who grew up","in"
"1125","will have to","be"
"1126","soon as i","get"
"1127","the value of","the"
"1128","shout out to","my"
"1129","to get on","the"
"1130","to talk about","the"
"1131","it makes me","feel"
"1132","what you need","to"
"1133","its supposed to","be"
"1134","always going to","be"
"1135","hey thanks for","the"
"1136","the other end","of"
"1137","and there was","a"
"1138","the word of","god"
"1139","is the most","important"
"1140","wants to be","a"
"1141","whats going on","in"
"1142","think of it","as"
"1143","that i am","not"
"1144","to everyone who","came"
"1145","in the context","of"
"1146","just a little","bit"
"1147","were looking forward","to"
"1148","for much of","the"
"1149","for quite some","time"
"1150","have the ability","to"
"1151","what i can","do"
"1152","in a good","way"
"1153","just finished a","mi"
"1154","i think we","have"
"1155","all my new","followers"
"1156","are we going","to"
"1157","far as i","know"
"1158","if you havent","already"
"1159","in response to","the"
"1160","the awkward moment","when"
"1161","rock and roll","hall"
"1162","it turns out","that"
"1163","i will tell","you"
"1164","need to do","is"
"1165","for the next","two"
"1166","start of the","season"
"1167","a waste of","time"
"1168","i went back","to"
"1169","lots and lots","of"
"1170","when he was","a"
"1171","you going to","be"
"1172","it reminds me","of"
"1173","for the time","being"
"1174","really dont want","to"
"1175","to some of","the"
"1176","one at a","time"
"1177","how do you","know"
"1178","you all have","a"
"1179","more than half","of"
"1180","ive been trying","to"
"1181","on the basis","of"
"1182","said he did","not"
"1183","looking for a","new"
"1184","never be able","to"
"1185","to the bottom","of"
"1186","you are the","best"
